"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 25, 2008","528.49","516.13","531.94","516.13","308.28M","2.39%"
"Sep 24, 2008","516.13","515.85","523.78","513.25","269.59M","0.05%"
"Sep 23, 2008","515.85","531.05","538.27","514.62","336.05M","-2.86%"
"Sep 22, 2008","531.05","536.93","548.71","529.72","317.09M","-1.10%"
"Sep 19, 2008","536.93","503.65","539.78","503.65","453.81M","6.61%"
"Sep 18, 2008","503.65","489.10","508.67","483.00","479.42M","2.97%"
"Sep 17, 2008","489.10","501.28","512.78","485.17","466.95M","-2.43%"
"Sep 16, 2008","501.28","482.65","501.94","465.21","505.57M","3.86%"
"Sep 15, 2008","482.65","518.25","518.25","482.65","405.91M","-6.87%"
"Sep 12, 2008","518.25","504.10","519.80","504.10","364.48M","2.80%"
"Sep 11, 2008","504.14","496.80","504.53","484.73","416.23M","1.48%"
"Sep 10, 2008","496.80","479.44","501.09","479.44","429.78M","3.62%"
"Sep 09, 2008","479.45","512.28","512.28","479.44","512.20M","-6.41%"
"Sep 08, 2008","512.28","514.77","526.03","506.89","353.63M","-0.50%"
"Sep 05, 2008","514.88","517.19","518.70","502.76","330.40M","-0.45%"
"Sep 04, 2008","517.19","528.55","533.24","510.81","347.75M","-2.15%"
"Sep 03, 2008","528.55","530.37","536.67","521.58","360.73M","-0.35%"
"Sep 02, 2008","530.38","556.07","556.07","530.15","347.66M","-4.62%"
"Aug 29, 2008","556.07","563.49","566.22","556.07","191.98M","-1.33%"
"Aug 28, 2008","563.58","567.82","572.57","554.64","230.28M","-0.75%"
"Aug 27, 2008","567.85","561.06","571.03","561.06","230.33M","1.21%"
"Aug 26, 2008","561.06","551.27","563.96","551.27","211.47M","1.78%"
"Aug 25, 2008","551.27","559.70","563.24","549.17","191.38M","-1.51%"
"Aug 22, 2008","559.70","568.51","568.51","553.87","200.58M","-1.55%"
"Aug 21, 2008","568.51","555.71","572.37","555.71","285.15M","2.30%"
"Aug 20, 2008","555.71","540.70","557.57","540.67","313.48M","2.77%"
"Aug 19, 2008","540.72","525.84","542.68","525.33","258.52M","2.83%"
"Aug 18, 2008","525.84","532.09","539.82","524.15","230.48M","-1.19%"
"Aug 15, 2008","532.15","541.21","541.21","526.16","276.72M","-1.76%"
"Aug 14, 2008","541.70","548.61","548.77","534.99","261.44M","-1.26%"
"Aug 13, 2008","548.63","530.74","550.13","530.74","322.86M","3.36%"
"Aug 12, 2008","530.79","534.20","539.19","530.60","299.04M","-0.64%"
"Aug 11, 2008","534.20","535.57","540.05","524.71","319.19M","-0.40%"
